ave_flot_air_flow,ave_flot_level,iron_feed,starch_flow,amina_flow,ore_pulp_flow,ore_pulp_pH,ore_pulp_density
300.0884675925927,403.209738888889,52.280000000000015,2610.0471855676333,518.8901944444443,399.99455,9.4875395,1.6314593333333334
299.83784629629633,485.06677766346576,50.69999999999996,3039.535577777778,559.2907459459464,399.0835458656327,10.221576111111109,1.7035360793655552
300.1095444444445,500.4395148148148,50.80000000000004,3763.3671305555536,390.2656166666666,398.280138888889,9.932692555555548,1.683142166666667
299.95600000000013,402.0707916666668,52.10999999999994,3005.996816666669,488.6957722222226,399.4763944444444,9.843557722222224,1.649139444444444
299.8544833333333,415.6504,45.71000000000003,4010.337966666665,468.4780944444446,399.5218388888888,10.289325555555555,1.638738111111111
299.7243231481482,417.7429203703702,56.76000000000017,4108.541722222222,500.8394166666666,399.7459083333335,10.142452222222223,1.6981782500000002
299.8895666666667,567.0619925925926,53.790000000000106,3016.777944444446,569.6133222222222,400.9912666666668,9.901191555555556,1.716282444444444
299.8726398148148,417.44204814814816,64.03000000000013,3226.0599777777807,545.9509500000001,399.2201111111111,10.053542777777778,1.6697426666666668
299.45492314814817,568.0480037037037,64.03000000000013,3617.090319444445,387.1937277777776,400.3069388888892,10.453139444444448,1.6757726666666666
291.8016574074074,413.6371981481481,64.03000000000013,3462.237944444444,416.7972111111108,398.24777777777774,9.886646666666664,1.6918268333333328
300.01020740740745,453.517375925926,55.79999999999997,2235.8896934611103,533.6148194444447,401.2821583333335,9.79584977777778,1.7358587222222224
283.3371851851853,399.6646111111111,64.03000000000013,3202.519166666668,525.3554111111112,401.3038833333332,9.89218522222222,1.7116201666666662
299.46397962962965,442.823337037037,52.17000000000007,1378.1451735648177,444.8361709999996,400.76300782828304,9.493815611111106,1.5691297083333329
291.4849916666667,466.2959166666666,57.459999999999845,4312.205922222218,486.8397222222221,400.59081666666646,10.369906666666663,1.696806944444445
283.2585444444444,416.81662592592585,56.4099999999999,3344.3958927777785,498.88714444444406,399.9757222222223,9.9240775,1.6796843333333322
283.2870527777779,416.9421833333335,56.64999999999981,3244.1657666666674,526.9032111111113,399.7343555555555,9.962599833333336,1.7182943888888889
300.1160435185185,591.181288888889,64.03000000000013,1647.1374518757889,371.0100362433868,399.1883573099417,10.006513944444452,1.583708529028335
299.9090305555556,416.0403092592592,49.850000000000165,2853.824936111112,574.6523555555556,400.39988333333326,9.932212944444448,1.6956468333333337
299.94334814814823,569.9170517756754,48.52000000000022,3456.7773888888896,375.8305532567051,401.8359953703722,10.214962777777778,1.674741852490001
291.66729907407404,415.8679259259259,64.03000000000013,2323.960334444443,460.9941555555556,399.3723666666663,9.963067222222232,1.638795611111109
283.28573240740747,416.812585185185,52.60999999999996,401.6287228915672,566.9797888888887,399.820577777778,9.5746755,1.772002333333333
299.77686944444446,399.8508962962963,50.69999999999996,4355.124055555559,575.8709666666663,400.8114055555556,9.683668277777777,1.698919
300.0153175925926,499.9343037037036,60.3999999999998,2742.7576166666668,619.9521333333333,399.2461222222223,9.801169666666665,1.7550201111111137
283.3561527777778,417.88909629629615,64.03000000000013,3712.465222222223,436.2168888888888,399.6454,9.827879666666664,1.6056324901038892
299.9906731481481,415.0324616809117,57.39999999999981,2415.5531138888914,480.629125,399.3684222222224,10.14177444444444,1.60971188888889
283.31608055555574,311.1181936934633,64.03000000000013,2813.6837841111114,391.0546722222224,399.2541666666666,9.377763777777767,1.6237653333333344
299.88289629629634,416.5543296296296,45.71000000000003,3926.0383888888864,567.4310166666669,399.1347944444445,10.290086666666667,1.7436419444444444
283.26915925925925,399.78171481481496,64.03000000000013,3229.6683611111134,526.2464833333335,399.9033833333332,9.85016777777777,1.7158797222222224
299.8926888888889,383.8729111111111,53.87999999999996,4435.446555555557,492.7931444444445,400.7204333333334,10.129927277777783,1.706425277777778
300.0232240740741,398.9951333333334,53.829999999999934,3899.261166666665,564.5428333333332,399.5238250000002,9.816809444444443,1.7223235555555552
299.9349037037038,566.8572166666669,64.03000000000013,2736.661994444446,375.49499444444456,398.9122222222221,9.984072555555551,1.657163833333334
288.0042449074074,565.814225925926,55.78000000000006,3365.790222222221,432.2056166666666,401.63293333333326,9.970013944444446,1.6630702777777764
300.03469259259265,399.334951851852,43.36999999999991,3949.346098333335,580.7730333333327,400.3140666666668,9.99726088888889,1.7446295555555555
300.0235481481481,417.3643833333335,64.03000000000013,4061.8612777777766,535.6083611111113,399.1369111111111,9.70634777777778,1.6697764444444436
299.7488962962962,499.36454629629606,64.03000000000013,3250.5420594444445,521.9563833333332,399.80984999999976,10.1342185,1.6370102777777789
299.83849629629634,417.5058611111112,53.25,1644.469863888888,483.0470666666664,400.2799444444447,9.852926000000002,1.6579212222222213
283.4478203703704,415.01707037037016,56.579999999999934,3505.173230314012,478.9533999999999,400.1318055555555,9.786278444444443,1.6503292222222226
299.8648027777777,474.5574979166668,48.52000000000022,3351.585772222221,438.3453055555556,399.71017222222224,10.18896666666667,1.702558888888889
283.04931851851853,416.5081055555558,56.4099999999999,3637.3761786111113,495.1720333333333,399.9091333333333,9.45078866666667,1.6748056111111114
299.82379722222225,399.48827407407407,49.93000000000012,3394.598807407407,531.3534333333332,400.0508333333336,9.765197888888885,1.695209166666668
